test,,train,
X,Y,X,Y
5.097653948694237,0.8646823035686054,6.064603879385279,0.8581117866022794
5.417423465878709,0.8673641472283303,6.383812561403687,0.8618663677258943
5.736959301743985,0.8704929648313428,6.70311471594977,0.8654421592721941
6.05658861013694,0.8734429928570402,6.969044057192043,0.8687199681896358
6.376124446002217,0.8765718104600526,7.34153207998658,0.872951321519424
6.695777122527092,0.8794771410914213,7.182441837879603,0.870090688282384
7.015312958392368,0.8826059586944337,7.660834234532663,0.8765271130657238
7.334918898653404,0.8856006841144598,7.92676357577494,0.8798049219831654
7.654431366386758,0.888774199111801,8.299251598569475,0.8840362753129536
7.974084042911633,0.8916795297431697,8.140161356462501,0.8811756420759137
8.29359651064499,0.8948530447405108,8.618553753115558,0.8876120668592535
8.613249187169865,0.8977583753718794,8.937855907661644,0.8911878584055534
8.932761654903222,0.9009318903692206,9.177285787307367,0.8939590968539358
9.252414331428097,0.9038372210005893,9.416622194425413,0.8969091248796333
9.571926799161455,0.9070107359979304,9.735924348971496,0.9004849164259331
9.891649580082087,0.9097819744463128,10.055436816704853,0.9036584314232743
10.291735366673384,0.9124191207117089,10.616225246505563,0.9060720907170267
11.013151661661366,0.9147523246956697,11.33766958325185,0.9083516578277928
11.734624040165956,0.9169782549332414,12.139308675118981,0.9108189539947398
12.375939052560765,0.9189449402837063,12.940929072480577,0.9133220080771497
13.017254064955578,0.9209116256341712,13.662424819117083,0.9155032409203926
13.658569077350391,0.9228783109846361,14.303739831511896,0.9174699262708575
14.380032108602213,0.9251221201799393,15.025235578148402,0.9196511591141006
15.261989027751634,0.9275417391262689,15.907401252609636,0.92167148133776
16.22455353901914,0.9293594331623047,16.86984113384024,0.9237275614768824
17.187133629041263,0.9311473289354546,17.832234278807007,0.9258730364046623
18.149713719063385,0.9329352247086046,18.794627423773775,0.9280185113324423
19.1122938090855,0.9347231204817545,19.757036147495157,0.9301341879973364
20.074920635371463,0.936421621466247,20.719631816271892,0.9318922855076005
21.037625355430492,0.9379711311363103,21.68235211508553,0.9334119969147779
22.000330075489515,0.9395206408063735,22.645041256389938,0.9349913048477271
22.963065953057765,0.9410105539506652,23.607730397694354,0.9365706127806761
23.9257862518714,0.9425302653578427,24.57045069650799,0.9380903241878537
24.888506550685044,0.9440499767650201,25.533124259057793,0.9396994303836885
25.851195691989453,0.9456292846979693,26.49584455787143,0.941219141790866
26.813869254539256,0.9472383908938041,27.458533699175838,0.9427984497238151
27.77654281708905,0.9488474970896391,28.421238419234868,0.9443479593938784
28.739216379638847,0.9504566032854741,29.383927560539277,0.9459272673268275
29.70188994218865,0.952065709481309,30.346710174371367,0.9473277856824617
30.6647504497938,0.953317236522514,31.30958626073113,0.9485495144607807
31.627688851172017,0.9544197722492898,32.27249350460012,0.9497116467133282
32.59061167379563,0.9555521062389514,33.235385169714505,0.9509035772287615
33.55356565392846,0.9566248437028414,34.19826125607427,0.9521253060070807
34.51647289779745,0.9577869759553889,35.161199657452485,0.9532278417338564
35.47945803543951,0.9588001168935072,36.12420037384916,0.9542111844090889
36.44245875183618,0.9597834595687396,37.08720109024583,0.9551945270843214
37.405490625742075,0.9607072057182005,38.050232964151725,0.9561182732337822
38.368491342138746,0.9616905483934329,39.01321810179378,0.9571314141719005
39.33149205853541,0.9626738910686654,39.97624997569968,0.9580551603213613
40.29453951119593,0.9635678389552403,40.93920395583251,0.9591278977852513
41.25763370012027,0.9643723920531578,41.902126778456115,0.9602602317749129
42.220759046553844,0.9651173486253036,42.86506517983433,0.9613627675016887
43.1838688142328,0.9658921034603353,43.828003581212556,0.9624653032284646
44.146994160666374,0.9666370600324811,44.79100429760922,0.963448645903697
45.110119507099945,0.9673820166046269,45.75406732902434,0.9643127955273861
46.07330716855198,0.9680077801252294,46.71727056923098,0.9649087607851028
47.036494830003996,0.9686335436458319,47.680473809437615,0.9655047260428194
47.99968249145602,0.9692593071664343,48.64364589213503,0.9661602878263077
48.96290131041727,0.9698254741612652,49.606817974832445,0.966815849609796
49.92610455062391,0.9704214394189817,50.56995890002063,0.967531007919056
50.88932336958516,0.9709876064138125,51.53309982520881,0.968246166228316
51.852588924810256,0.9714643786199859,52.49619401413317,0.9690507193262334
52.81585448003534,0.9719411508261593,53.45931936056673,0.9697956758983793
53.77908887775121,0.9724775195581042,54.42246028575492,0.9705108342076393
54.742370011730905,0.9729244935013917,55.38560121094311,0.9712259925168992
55.705542094428324,0.97358005528488,56.34874213613129,0.9719411508261593
56.66871417712572,0.9742356170683684,57.31188306131948,0.9726563091354192
57.63190183857776,0.9748613805889708,58.274992828998435,0.9734310639704509
58.59505834252056,0.975546740635345,59.23813375418662,0.9741462222797108
59.5582615827272,0.9761427058930616,60.201321415638645,0.9747719858003133
60.52151155919766,0.9766492763621207,61.16463370712759,0.9751593632178291
61.484917323214276,0.9768578642023216,62.12789926235267,0.9756361354240024
62.448323087230875,0.9770664520425224,63.09122713259622,0.9759937145786325
63.41168211498365,0.9773644346713808,64.05453942408514,0.9763810919961483
64.37507230024565,0.9776028207744674,65.01786729432868,0.9767386711507783
65.33844690675302,0.9778710051404399,65.9811795858176,0.9771260485682941
66.301837092015,0.9781093912435266,66.94449187730655,0.9775134259858099
67.26518054101317,0.9784371721352707,67.90783532630469,0.977841206877554
68.22855514752055,0.9787053565012432,68.55005390646704,0.9780795929806407
